Company Name,Industry,Symbol,Series,ISIN Code,Sector_Final
3M India Ltd.,SERVICES,3MINDIA,EQ,INE470A01017,Services
ACC Ltd.,CEMENT & CEMENT PRODUCTS,ACC,EQ,INE012A01025,Building materials
AIA Engineering Ltd.,INDUSTRIAL MANUFACTURING,AIAENG,EQ,INE212H01026,Engineering & capital goods
APL Apollo Tubes Ltd.,METALS,APLAPOLLO,EQ,INE702C01019,Metals
AU Small Finance Bank Ltd.,FINANCIAL SERVICES,AUBANK,EQ,INE949L01017,Financial services
Aarti Industries Ltd.,CHEMICALS,AARTIIND,EQ,INE769A01020,Chemicals
Aavas Financiers Ltd.,FINANCIAL SERVICES,AAVAS,EQ,INE216P01012,Financial services
Abbott India Ltd.,PHARMA,ABBOTINDIA,EQ,INE358A01014,Healthcare
Adani Gas Ltd.,ENERGY,ADANIGAS,EQ,INE399L01023,Energy
Adani Green Energy Ltd.,ENERGY,ADANIGREEN,EQ,INE364U01010,Energy
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS,EQ,INE742F01042,Services
Adani Power Ltd.,ENERGY,ADANIPOWER,EQ,INE814H01011,Energy
Adani Transmission Ltd.,ENERGY,ADANITRANS,EQ,INE931S01010,Energy
Aditya Birla Capital Ltd.,FINANCIAL SERVICES,ABCAPITAL,EQ,INE674K01013,Financial services
Aditya Birla Fashion and Retail Ltd.,CONSUMER GOODS,ABFRL,EQ,INE647O01011,FMCG
Advanced Enzyme Tech Ltd.,CONSUMER GOODS,ADVENZYMES,EQ,INE837H01020,FMCG
Aegis Logistics Ltd.,ENERGY,AEGISCHEM,EQ,INE208C01025,Energy
Affle (India) Ltd.,IT,AFFLE,BE,INE00WC01019,Software services
Ajanta Pharmaceuticals Ltd.,PHARMA,AJANTPHARM,EQ,INE031B01049,Healthcare
Akzo Nobel India Ltd.,CONSUMER GOODS,AKZOINDIA,EQ,INE133A01011,FMCG
Alembic Pharmaceuticals Ltd.,PHARMA,APLLTD,EQ,INE901L01018,Healthcare
Alkem Laboratories Ltd.,PHARMA,ALKEM,EQ,INE540L01014,Healthcare
Allcargo Logistics Ltd.,SERVICES,ALLCARGO,EQ,INE418H01029,Services
Amara Raja Batteries Ltd.,AUTOMOBILE,AMARAJABAT,EQ,INE885A01032,Auto ancillary
Amber Enterprises India Ltd.,CONSUMER GOODS,AMBER,EQ,INE371P01015,FMCG
Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,AMBUJACEM,EQ,INE079A01024,Building materials
Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES,APOLLOHOSP,EQ,INE437A01024,Healthcare
